id,day,priority,owner,depends_on,task,deliverable,acceptance_criteria,verification,estimate_hours,status,evidence,blocker
DR-CAD-01,1,P1,Agent,,Prepare bench-first mechanical inputs and evidence mapping,NEW cad/bench/parameters.csv; cad/bench/design-inputs.md,"Source motor/prop/load-cell/stand mounting dimensions from actual vendor drawings or owner measurements. hardware_interfaces.csv is a UART/pad register, NOT mounting-pattern evidence. Separate stand axes, effective authority arm_m, measured thrust_n, calibration lever and uncertainty; unknowns remain pending.",Trace dimensions to inspected mechanical sources and map arm_m/thrust_n to docs/specs/measured-authority-gate/evidence-contract.md.,2,done,evidence/task-2026-09-08/README.md,
DR-CAD-02,1,P1,Owner,DR-CAD-01,Approve bench-only geometry and access,NEW cad/bench/owner-inputs.md,"Approve selected motor/prop, load cell, bench mounting, effective authority lever, 7.0 V operating envelope, metrology and qualified containment. Battery/electronics layout and complete vehicle CAD are NOT required.","Record actual fit-critical drawings, arm_m meaning/calibration and operator/facility availability; no approval is assumed.",1,blocked,,Owner must supply only this task's stated inputs and approvals; unrelated parked branches do not block it.
DR-CAD-10,2,P1,Agent,DR-CAD-01,Establish code-CAD regeneration and CI geometry tests,NEW cad/requirements.lock; cad/generate.py; cad/tests/; .github/workflows/cad-geometry.yml,"Use CadQuery for parameter-driven families and neutral STEP checks, Onshape for hand-modeled fixtures after confirming account/access. Pin Python/CadQuery/OCP dependencies after a clean isolated install and export/reimport smoke test. Add geometry CI before accepting a parametric model; screenshots are supplementary, not acceptance.","python cad/generate.py --parameters cad/bench/parameters.csv --output <tmp>; python -m pytest cad/tests -q (23 passed). Contract cad/contract.json with declared tolerances; failure proven on altered parameter, invalid dimensions, missing input, empty pending value, unit mismatch and truncated STEP. Version lock cad/requirements.lock asserted by test. Geometry workflow installed with day-1 stack triggers; hosted geometry and existing CI passed; downloaded STEP checksum/volume validated.",3,done,evidence/review-2026-09-09/hosted-verification.json,
DR-CAD-06,3,P0,Agent,DR-CAD-02;DR-CAD-10,Model propulsion metrology stand and protective interfaces,"NEW cad/bench/propulsion/ (source, STEP, drawings)","Specify load-cell mounts, thrust axis, calibrated torque-arm lever, hard mounting/ballast, cable restraint, remote stop access and independent containment interface. Document nominal applied loads and stability calculations; qualified containment is an external input, not a printed-shell claim. Bind actual thrust_n and effective arm_m to the evidence contract, units/datums/calibration and mixer derivation. The stand calibration lever is not automatically the vehicle authority lever. Preserve 7.0 V and registered grid.","Review calibration-load path, tip-over/sliding/fastener assumptions and prop exclusion envelope against the existing safety checklist. Retain review issues; no energized approval implied. Numerically check STEP dimensions, effective lever and load-axis alignment; retain arm/thrust uncertainty and raw-to-tau_rp_n_m mapping.",5,blocked,,Requires acceptance of DR-CAD-02;DR-CAD-10; revised dependencies supersede the prior work order.
DR-CAD-08,4,P1,Agent,DR-CAD-06;DR-CAD-10,Release bench-only fabrication and calibration-review pack,"NEW cad/bench/release/ (drawings, STEP, calibration mapping)","Release only stand, qualified-containment interface and instrument datums. Include arm_m/thrust_n mapping, load/stability calculations and pre-run uncertainty requirements. No vehicle packaging/pendulum dependency. Preserve 0.020 N m and 962/1000; no motor operation is authorized.",Reimport STEP and assert critical dimensions; owner reviews actual fabrication/safety/calibration separately.,2,blocked,,Requires acceptance of DR-CAD-06;DR-CAD-10; revised dependencies supersede the prior work order.
DR-CAD-02V,conditional,P2,Owner,DR-CAD-01,Approve vehicle-only mechanical interfaces,NEW cad/vehicle/owner-inputs.md,"After bench authority supports proceeding, confirm four-motor vehicle, battery/electronics and guard interfaces and Onshape source access. This task cannot gate the bench.","Check actual motor-center geometry, guard and packaging fit drawings, bought-part mass sources, fabrication capability and authorized Onshape source access; bench calibration is handled in DR-CAD-02.",1,deferred,,Vehicle branch parked until bench decision and owner promotion.
DR-CAD-03,conditional,P2,Agent,DR-CAD-02V,Model the full vehicle packaging assembly,"NEW cad/vehicle/assembly/ (editable source, STEP, layout drawing)","Model motor mounts, frame, electronics/battery retention, connector service space and wire routing using sourced envelopes. Assign mass basis per part; model all four rotor swept envelopes and retained fasteners.","Retain interference report, top/side/section views and service-access checks at the documented configuration.",6,deferred,,Vehicle work parked until measured authority supports proceeding and owner promotes this branch.
DR-CAD-04,conditional,P2,Agent,DR-CAD-03,Model guard attachments and analyze geometric load paths,"NEW cad/vehicle/guard/ (source, STEP, load-path drawing)","Detail attachment interfaces, joints and minimum prop clearance over declared tolerance/deflection assumptions; distinguish contact guard from blade-fragment containment. Do not claim a CAD guard is impact-qualified.",Inspect worst-case fit and removal/access; link load paths to Analysis/guard.py assumptions and log mismatches for later analysis.,4,deferred,,Vehicle work parked until measured authority supports proceeding and owner promotes this branch.
DR-CAD-05,conditional,P2,Agent,DR-CAD-03;DR-CAD-04,"Export CAD mass, CG and inertia with source provenance",NEW cad/vehicle/mass-properties.csv; cad/vehicle/mass-reconciliation.md,"Use the existing Engineering Data/cad_mass_properties_template.csv columns; document inertia frame, origin, units, products-of-inertia convention, density/source and uncertain bought-part masses. Keep modeled values separate from measured values.",Reconcile component sums with assembly mass; verify frame translations and symmetric/positive inertia; compare current mass budget without silently overwriting assumed inputs.,3,deferred,,Vehicle work parked until measured authority supports proceeding and owner promotes this branch.
DR-CAD-07,conditional,P2,Agent,DR-CAD-02V;DR-CAD-05,Model mass-property verification fixture,"NEW cad/bench/pendulum/ (source, STEP, datums)","Define bifilar or trifilar suspension attachment, spacing, suspension-length measurement, body-frame alignment and securing points for a props-off vehicle. Include fixture inertia/tare identification in the measurement plan.",Check support loads and unobstructed small-angle motion; retain dimensioned datums and fixture contribution calculation before an approved calibration run.,3,deferred,,Vehicle work parked until measured authority supports proceeding and owner promotes this branch.
DR-CAD-11,conditional,P2,Agent,DR-CAD-04;DR-CAD-05;DR-CAD-07,Release vehicle and inertia-verification pack,"NEW cad/release/ (BOM, drawings, source/export manifest, inspection plan)","Include vehicle/bench revisions, material/process and critical fits, assembly/exploded views and inspection checks. List mass-property physical validation and safety approval as unresolved until observed; preserve 0.020 N m and 962/1000 gates.","Reopen neutral exports, compare selected dimensions and mass against native source; review every critical interface and hardware-data dependency.",2,deferred,,Vehicle branch parked until bench gate and owner promotion.
DR-CAD-09,conditional,P2,Agent,DR-CAD-11,Design a restrained release/synchronization fixture,NEW cad/bench/release-fixture/ (source and reviewed concept drawing),"Only after qualified operator approves a bounded recovery campaign and measured propulsion readiness exists: define restraint, release clearance and common trigger/visible-LED mounts. No free-flight claim or test authorization from CAD.",Review prop/vehicle trajectory envelope and release-failure modes with the facility; record approval separately from geometry.,5,deferred,,Vehicle work parked until measured authority supports proceeding and owner promotes this branch.
DR-CAD-12,2026-09-12,P1,Agent,DR-CAD-10,Implement the missing bench-fixture geometry contract,"cad/fixture_contract.py (--refresh/--check/--release); cad/bench/fixture-contract.json (12 clauses: 5 interface, 3 clearance, 4 load-path); cad/tests/test_fixture_contract.py (12 tests)","Every interface, clearance and load-path input named in fixture-preparation.md is a clause bound to register rows; pending rows make their clause pending; --release exits 2 while any clause is pending or any vendor-nominal input is unconfirmed; staleness against the register is CI-gated by the existing cad-geometry job","python cad/fixture_contract.py --check (2 evaluable, 10 pending); --release -> REFUSED INPUTS_INCOMPLETE; python cad/ledger_validator.py live (PASS, 9 mutations rejected); python -m pytest -q cad/tests/test_fixture_contract.py cad/tests/test_input_requests.py cad/tests/test_ledger_validator.py (30 passed)",3,done,cad/bench/fixture-contract.json,"Review 2 (2026-09-12): the lever-vs-arm rule wrongly failed equal numbers; now a provenance-identity check (distinct records, named datums). prop_hub_fit_tolerance is a registered pending design-basis row, not a 0.05 mm default. DR-CAD-02 still fills the pending rows."
