item,category,model_or_part,revision,quantity,state,label_or_drawing_ref,calibration_record,observer,date,notes
V995 quadcopter,test_article,Veeniix V995,unknown,1,OWNER_IDENTIFIED,P3 IMG_3883.HEIC; owner statement 2026-09-20,none,owner,2026-09-20,"~50 g OWNER_ESTIMATE (battery inclusion unspecified); four guarded 3-blade rotors; two-wire motor leads (brushed inference, unconfirmed); board edge marking contains 'A20' and a date-like '23-05-06' (partial, obscured); CLK-marked pad group near switch end; photo shows canopy/foam removed - not the flight configuration"
V995 flight battery,test_article,3.7 V 180 mAh (manufacturer FAQ),unknown,1,MANUFACTURER_SPECIFICATION,S12 veeniix.com V995 page (indexed),none,owner decision 2026-09-21,2026-09-21,"accepted for planning by owner; no label re-verification task; separate interface from charger input"
V995 charger,test_article,5 V DC / 2 A adapter + supplied cable (manufacturer spec),unknown,1,MANUFACTURER_SPECIFICATION,S12,none,owner decision 2026-09-21,2026-09-21,"charger input is not the flight-battery interface; never a source for an accessory rail"
NAU7802 24-bit ADC STEMMA QT,bench_adc,Adafruit PID 4538,unknown (Rev C exposes A+B inputs; earlier A only),1,PURCHASE_REPORTED,P1/P2 purchase list (transcribed in the 2026-09-20 plan; personal details not copied),none,,2026-09-20,"confirm terminal labels on delivered board; one conversion chain even if two inputs"
QT Py RP2040,acquisition_mcu,Adafruit PID 4900,unknown,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"STEMMA connector = I2C1; SDA/SCL pads = I2C0 (S5); headers unassembled? - confirm"
INA260 V/I/P sensor,bench_electrical,Adafruit PID 4226,unknown,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"default addr 0x40; Vin+/Vin- are shunt ends not battery +/-; 15 A chip rating does not rate the harness"
LIS3DH accelerometer,motion,Adafruit PID 2809,unknown,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"specific force only - NOT a gyro; +/-2/4/8/16 g; addr 0x18 or 0x19"
IR break-beam pair 5 mm,event_gate,Adafruit PID 2168,unknown,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"open-collector receiver; <2 ms response; coarse event timing only"
Load cell 1 kg four-wire,force,Adafruit PID 4540,unknown,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"~9.81 N nominal; ~29 g nominal body, 80 mm nominal length; bench apparatus not payload; recommended initial cell CONDITIONAL on load budget + resolution"
Load cell 5 kg four-wire,force,Adafruit PID 4541,unknown,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"~49.0 N nominal; 75 mm nominal length - not interchangeable mounting with the 1 kg body"
STEMMA QT / Qwiic JST SH 4-pin cable 100 mm,cable,Adafruit PID 4210,n/a,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"one cable: QT Py STEMMA -> NAU7802 only"
Jumper wires F/F 20x75 mm,cable,Adafruit PID 1951,n/a,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"logic only; never motor/battery current"
Jumper wires M/M 20x150 mm,cable,Adafruit PID 1957,n/a,1,PURCHASE_REPORTED,P1/P2,none,,2026-09-20,"logic only; never motor/battery current"
USB data cable (QT Py),cable,unknown,n/a,?,UNKNOWN,not on P1/P2,none,,,"E5: confirm a data-capable USB-C cable is on hand"
Reference masses,reference,unknown,n/a,?,UNKNOWN,not on P1/P2,none,,,"R3.4: needed for installed calibration; characterize or label results provisional"
Dimensional tools (caliper etc.),tool,unknown,n/a,?,UNKNOWN,not on P1/P2,none,,,"needed for cell body/hole inspection and rotor-center geometry"
Bench multimeter / current-limited supply,instrument,unknown,n/a,?,UNKNOWN,not on P1/P2,none,,,"R2.1 dummy-load verification and INA260 reference points"
