parameter,value,unit,evidence_state,source,release_requirement
motor_body_diameter,13.5,mm,vendor_nominal,https://www.happymodel.cn/index.php/2022/09/05/bassline-spare-part-ex1103-kv11000-brushless-motor/,Confirm delivered EX1103 KV11000 envelope and tolerance
motor_body_length,15.5,mm,vendor_nominal,https://www.happymodel.cn/index.php/2022/09/05/bassline-spare-part-ex1103-kv11000-brushless-motor/,Confirm datum includes shaft and clearance required by mount
motor_shaft_diameter,1.5,mm,vendor_nominal,https://www.happymodel.cn/index.php/2022/09/05/bassline-spare-part-ex1103-kv11000-brushless-motor/,Measure delivered shaft and mating hub fit
prop_diameter,52.17,mm,vendor_nominal,https://www.gemfanhobby.com/2023-hurricane-pc-3-blade.html,Add separately approved dynamic clearance and containment envelope
prop_hub_bore,1.5,mm,vendor_nominal,https://www.gemfanhobby.com/2023-hurricane-pc-3-blade.html,Confirm actual T-mount screw pattern and motor compatibility
motor_mount_pitch_circle,,mm,pending,cad/bench/design-inputs.md,Owner supplies dimensioned drawing or measured hole coordinates
motor_mount_hole_diameter,,mm,pending,cad/bench/design-inputs.md,Owner supplies thread size and fit with uncertainty
motor_mount_thread_engagement,,mm,pending,cad/bench/design-inputs.md,Owner confirms safe screw penetration and mounting plate stack
prop_mount_screw_spacing,,mm,pending,cad/bench/design-inputs.md,Owner supplies matching bell and prop hub drawing or inspection
load_cell_mount_spacing,,mm,pending,Engineering Data/instrumentation.csv,Select and identify calibrated load cell then record both end interfaces
load_cell_capacity,,N,pending,Engineering Data/instrumentation.csv,Owner selects overload capacity and source drawing
stand_anchor_spacing,,mm,pending,Instrumentation/propulsion-bench-safety-checklist.md,Measure actual bench mounting and document stability/load path
stand_calibration_lever,,m,pending,cad/bench/design-inputs.md,Calibrate perpendicular distance from pivot to calibration-force line
authority_arm_measured,,m,pending,docs/specs/measured-authority-gate/evidence-contract.md,Measure vehicle center-to-motor radius separately from stand calibration lever
authority_arm_model,0.060,m,model_assumption,docs/specs/measured-authority-gate/design.md,Planning only; cannot populate measured raw arm_m
total_thrust_model,4.2,N,model_assumption,docs/specs/measured-authority-gate/design.md,Planning only; cannot populate measured raw thrust_n
acceptance_voltage,7.0,V,protocol,docs/specs/measured-authority-gate/design.md,Measure under load with calibrated uncertainty
collective_1,0.25,1,protocol,docs/specs/measured-authority-gate/design.md,Retain frozen grid
collective_2,0.375,1,protocol,docs/specs/measured-authority-gate/design.md,Retain frozen grid
collective_3,0.50,1,protocol,docs/specs/measured-authority-gate/design.md,Retain frozen grid
collective_4,0.625,1,protocol,docs/specs/measured-authority-gate/design.md,Retain frozen grid
collective_5,0.75,1,protocol,docs/specs/measured-authority-gate/design.md,Retain frozen grid
authority_threshold,0.020,N*m,protocol,docs/specs/measured-authority-gate/design.md,Uncertainty-adjusted empirical fifth percentile at every grid point
thrust_expanded_uncertainty,,N,pending,docs/specs/measured-authority-gate/evidence-contract.md,Reviewed calibration and uncertainty artifact required
arm_expanded_uncertainty,,m,pending,docs/specs/measured-authority-gate/evidence-contract.md,Reviewed geometry and uncertainty artifact required
prop_hub_fit_tolerance,,mm,pending,cad/bench/design-inputs.md,"Owner chooses the bore-to-shaft fit tolerance with a stated design basis (fit class, retention method, vendor drawing); an unchosen tolerance is not 0.05 mm by default"
